Days,dd/mm/yyyy,CLFR:PROD:6.5.1,CLFR:PROD:7.5.1,CLFR:PROD:8.5.1,CPI:PROD:6.5.1,CPI:PROD:7.5.1,CPI:PROD:8.5.1,CPR:PROD:6.5.1,CPR:PROD:7.5.1,CPR:PROD:8.5.1,CTFAC:PROD:6.5.1,CTFAC:PROD:7.5.1,CTFAC:PROD:8.5.1,FGOR,FGPR,FGPT,FOE,FOPR,FOPT,FWCT,FWPR,FWPT,TIME,WBHP:PROD,WGPR:PROD,WGPT:PROD,WOPR:PROD,WOPT:PROD,WWCT:PROD,WWPR:PROD,WWPT:PROD,YEARS
0,01/01/1990,0,0,0,0,0,0,3600,3600,3600,58.5358,58.5358,58.5358,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,0,0
1,02/01/1990,2027.74,1936.08,2036.18,21.0742,20.925,21.0098,3427,3426.54,3424.77,58.5358,58.5358,58.5358,1.36192,6889.53,6889.53,0.000443868,5058.67,5058.67,0.156888,941.328,941.328,1,3422.76,6889.53,6889.53,5058.67,5058.67,0.156888,941.328,941.328,0.00273785
3.35,04/01/1990,2054.22,1909.86,2035.92,16.4734,16.2184,16.3895,3387.39,3386.91,3385.16,58.5358,58.5358,58.5358,1.35481,6393.17,21915,0.00141651,4718.87,16149.2,0.213522,1281.13,3952.3,3.35024,3383.15,6393.17,21915,4718.87,16149.2,0.213522,1281.13,3952.3,0.00917247
8.04,09/01/1990,2062.09,1904.82,2033.09,12.5134,12.0974,12.4217,3358.48,3358.01,3356.27,58.5358,58.5358,58.5358,1.35158,5718.35,48706.5,0.00315493,4230.87,35971.5,0.294856,1769.13,12241,8.03541,3354.27,5718.35,48706.5,4230.87,35971.5,0.294856,1769.13,12241,0.0219998
19.97,20/01/1990,2064.89,1900.33,2034.78,8.12322,7.32223,7.99888,3317.76,3317.28,3315.55,58.5358,58.5358,58.5358,1.3583,4619.09,103813,0.00671298,3400.65,76541.9,0.433224,2599.35,43251.7,19.9656,3313.58,4619.09,103813,3400.65,76541.9,0.433224,2599.35,43251.7,0.0546628
40.47,10/02/1990,2069.35,1895.24,2035.41,5.81605,4.7972,5.61968,3293.88,3293.41,3291.69,58.5358,58.5358,58.5358,1.37375,3581.59,177264,0.0114021,2607.17,130010,0.565471,3392.83,112832,40.4736,3289.73,3581.59,177264,2607.17,130010,0.565471,3392.83,112832,0.110811
70.24,12/03/1990,2069.66,1897.17,2033.17,4.23565,3.18616,3.99514,3275.21,3274.75,3273.06,58.5358,58.5358,58.5358,1.37379,2712.93,258010,0.0165575,1974.78,188785,0.67087,4025.22,232635,70.2368,3271.12,2712.93,258010,1974.78,188785,0.67087,4025.22,232635,0.192298
100,11/04/1990,2068.59,1901.93,2029.48,3.37819,2.36486,3.1036,3263.23,3262.77,3261.09,58.5358,58.5358,58.5358,1.37382,2192.28,323259,0.0207229,1595.75,236280,0.734042,4404.25,363720,100,3259.18,2192.28,323259,1595.75,236280,0.734042,4404.25,363720,0.273785
150,31/05/1990,2059.5,1921.8,2018.69,2.62847,1.74677,2.32206,3252.06,3251.61,3249.93,58.5358,58.5358,58.5358,1.37362,1720.08,409263,0.0262139,1252.23,298891,0.791296,4747.77,601109,150,3248.03,1720.08,409263,1252.23,298891,0.791296,4747.77,601109,0.410678
200,20/07/1990,2052.9,1934.5,2012.6,2.18009,1.37893,1.85895,3244.38,3243.93,3242.26,58.5358,58.5358,58.5358,1.37355,1422.31,480379,0.0307546,1035.5,350666,0.827417,4964.5,849334,200,3240.37,1422.31,480379,1035.5,350666,0.827417,4964.5,849334,0.54757
300,28/10/1990,2041.33,1948.27,2010.4,1.70425,1.05796,1.40193,3235.21,3234.77,3233.1,58.5358,58.5358,58.5358,1.37358,1117.43,592122,0.0378894,813.516,432018,0.864414,5186.48,1367980,300,3231.22,1117.43,592122,813.516,432018,0.864414,5186.48,1367980,0.821355
400,05/02/1991,2032.45,1953.23,2014.32,1.42937,0.890535,1.17469,3229.24,3228.81,3227.15,58.5358,58.5358,58.5358,1.37373,949.184,687040,0.0439491,690.953,501113,0.884841,5309.05,1898890,400,3225.28,949.184,687040,690.953,501113,0.884841,5309.05,1898890,1.09514
500,16/05/1991,2033.89,1954.09,2012.02,1.2803,0.781395,1.01029,3225.43,3225,3223.34,58.5358,58.5358,58.5358,1.37733,842.346,771275,0.0493125,611.58,562271,0.89807,5388.42,2437730,500,3221.47,842.346,771275,611.58,562271,0.89807,5388.42,2437730,1.36893
600,24/08/1991,2034.99,1953.12,2011.89,1.1677,0.703501,0.88829,3223.01,3222.57,3220.92,58.5358,58.5358,58.5358,1.38185,762.26,847501,0.0541502,551.623,617433,0.908063,5448.38,2982570,600,3219.05,762.26,847501,551.623,617433,0.908063,5448.38,2982570,1.64271
700,02/12/1991,2032.53,1954.14,2013.32,1.07149,0.650407,0.798443,3221.57,3221.14,3219.49,58.5358,58.5358,58.5358,1.38268,698.24,917325,0.0585789,504.99,667932,0.915835,5495.01,3532070,700,3217.62,698.24,917325,504.99,667932,0.915835,5495.01,3532070,1.9165
800,11/03/1992,2027.28,1956.29,2016.43,0.989757,0.604728,0.730788,3220.93,3220.5,3218.85,58.5358,58.5358,58.5358,1.38594,645.88,981913,0.062666,466.024,714535,0.922329,5533.98,4085470,800,3216.99,645.88,981913,466.024,714535,0.922329,5533.98,4085470,2.19028
900,19/06/1992,2022.67,1958.39,2018.94,0.919501,0.564627,0.675027,3220.38,3219.95,3218.31,58.5358,58.5358,58.5358,1.38612,599.962,1041910,0.066462,432.835,757818,0.927861,5567.16,4642180,900,3216.44,599.962,1041910,432.835,757818,0.927861,5567.16,4642180,2.46407
1000,27/09/1992,2018.75,1960.21,2021.04,0.859815,0.530123,0.629243,3219.87,3219.44,3217.8,58.5358,58.5358,58.5358,1.38618,561.22,1098030,0.0700127,404.868,798305,0.932522,5595.13,5201700,1000,3215.94,561.22,1098030,404.868,798305,0.932522,5595.13,5201700,2.73785
1100,05/01/1993,2016.28,1961.33,2022.38,0.810412,0.501248,0.590598,3219.49,3219.07,3217.43,58.5358,58.5358,58.5358,1.38621,528.583,1150890,0.0733569,381.315,836437,0.936447,5618.68,5763560,1100,3215.57,528.583,1150890,381.315,836437,0.936447,5618.68,5763560,3.01164
1200,15/04/1993,2015.88,1961.74,2022.38,0.771542,0.477188,0.557278,3219.38,3218.95,3217.31,58.5358,58.5358,58.5358,1.38623,501.183,1201010,0.0765276,361.543,872591,0.939743,5638.46,6327410,1200,3215.46,501.183,1201010,361.543,872591,0.939743,5638.46,6327410,3.28542
1300,24/07/1993,2015.3,1962.53,2022.17,0.739118,0.456215,0.528008,3219.3,3218.87,3217.24,58.5358,58.5358,58.5358,1.38627,477.708,1248780,0.0795496,344.598,907051,0.942567,5655.4,6892950,1300,3215.38,477.708,1248780,344.598,907051,0.942567,5655.4,6892950,3.55921
1400,01/11/1993,2014.58,1963.11,2022.31,0.710836,0.437063,0.502559,3219.24,3218.81,3217.18,58.5358,58.5358,58.5358,1.38631,457.056,1294480,0.082441,329.692,940020,0.945051,5670.31,7459980,1400,3215.32,457.056,1294480,329.692,940020,0.945051,5670.31,7459980,3.83299
1500,09/02/1994,2013.67,1963.42,2022.91,0.685303,0.419888,0.480276,3219.22,3218.8,3217.16,58.5358,58.5358,58.5358,1.38634,438.668,1338350,0.0852159,316.421,971662,0.947263,5683.58,8028340,1500,3215.31,438.668,1338350,316.421,971662,0.947263,5683.58,8028340,4.10678
