Days,dd/mm/yyyy,CLFR:PROD:2.5.1,CLFR:PROD:3.5.1,CLFR:PROD:4.5.1,CLFR:PROD:5.5.1,CLFR:PROD:6.5.1,CLFR:PROD:7.5.1,CLFR:PROD:8.5.1,CPI:PROD:2.5.1,CPI:PROD:3.5.1,CPI:PROD:4.5.1,CPI:PROD:5.5.1,CPI:PROD:6.5.1,CPI:PROD:7.5.1,CPI:PROD:8.5.1,CPR:PROD:2.5.1,CPR:PROD:3.5.1,CPR:PROD:4.5.1,CPR:PROD:5.5.1,CPR:PROD:6.5.1,CPR:PROD:7.5.1,CPR:PROD:8.5.1,CTFAC:PROD:2.5.1,CTFAC:PROD:3.5.1,CTFAC:PROD:4.5.1,CTFAC:PROD:5.5.1,CTFAC:PROD:6.5.1,CTFAC:PROD:7.5.1,CTFAC:PROD:8.5.1,FGOR,FGPR,FGPT,FOE,FOPR,FOPT,FWCT,FWPR,FWPT,TIME,WBHP:PROD,WGPR:PROD,WGPT:PROD,WOPR:PROD,WOPT:PROD,WWCT:PROD,WWPR:PROD,WWPT:PROD,YEARS
0,01/01/1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,3600,3600,3600,3600,3600,3600,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,0,0
1,02/01/1990,871.874,823.681,819.783,825.635,839.763,867.213,952.05,24.2916,24.2419,24.231,24.2072,24.1641,24.0974,24.0554,3536.26,3536.17,3535.85,3535.14,3533.88,3531.92,3529.07,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,1.37939,7147.12,7147.12,0.000454474,5181.37,5181.37,0.136439,818.631,818.631,1,3527.05,7147.12,7147.12,5181.37,5181.37,0.136439,818.631,818.631,0.00273785
4,05/01/1990,893.318,826.022,816.105,818.537,830.782,858.946,956.29,20.7062,20.6026,20.5908,20.5626,20.5097,20.4282,20.4242,3528.95,3528.86,3528.52,3527.8,3526.54,3524.58,3521.74,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,1.37838,6846.15,27685.6,0.00176125,4966.81,20081.8,0.172198,1033.19,3918.19,4,3519.73,6846.15,27685.6,4966.81,20081.8,0.172198,1033.19,3918.19,0.0109514
12.07,13/01/1990,898.078,827.243,817.393,819.266,830.128,855.576,952.317,17.1075,16.8046,16.7965,16.7606,16.6815,16.5574,16.7177,3523.66,3523.57,3523.23,3522.51,3521.25,3519.3,3516.48,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,1.37806,6271.72,78292.1,0.00498211,4551.1,56804.7,0.241483,1448.9,15609.3,12.069,3514.48,6271.72,78292.1,4551.1,56804.7,0.241483,1448.9,15609.3,0.0330432
35.82,05/02/1990,898.603,829.51,821.077,822.688,831.844,853.24,943.039,11.2212,10.553,10.5313,10.4976,10.4266,10.3285,10.861,3510.57,3510.48,3510.15,3509.44,3508.19,3506.26,3503.47,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,1.37711,4986.48,196711,0.0125236,3620.97,142796,0.396505,2379.03,72106.7,35.8171,3501.5,4986.48,196711,3620.97,142796,0.396505,2379.03,72106.7,0.0980618
67.91,09/03/1990,898.232,831.463,824.042,825.475,833.456,852.09,935.243,7.54825,6.72997,6.69924,6.6726,6.62104,6.56161,7.25715,3498.88,3498.79,3498.46,3497.76,3496.52,3494.61,3491.85,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,1.37647,3852.51,320344,0.0204007,2798.82,232614,0.533529,3201.18,174837,67.9085,3489.91,3852.51,320344,2798.82,232614,0.533529,3201.18,174837,0.185923
100,11/04/1990,894.977,833.974,827.066,828.352,835.676,852.767,927.188,5.56762,4.76718,4.73431,4.71326,4.67547,4.64006,5.33363,3490.34,3490.25,3489.93,3489.23,3488,3486.1,3483.36,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,1.37607,3097.3,419741,0.0267355,2250.83,304846,0.624862,3749.17,295154,100,3481.44,3097.3,419741,2250.83,304846,0.624862,3749.17,295154,0.273785
150,31/05/1990,882.339,838.893,832.743,833.888,840.714,856.11,915.314,3.94355,3.30868,3.28118,3.26612,3.2413,3.22158,3.81815,3481.73,3481.64,3481.33,3480.63,3479.42,3477.53,3474.8,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,1.37621,2422.21,540851,0.0344541,1760.06,392849,0.706657,4239.94,507151,150,3472.9,2422.21,540851,1760.06,392849,0.706657,4239.94,507151,0.410678
200,20/07/1990,884.685,836.956,831.944,833.018,839.151,852.192,922.055,3.21362,2.5667,2.54115,2.52837,2.5072,2.4918,3.14608,3477.54,3477.45,3477.14,3476.45,3475.24,3473.36,3470.65,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,1.37971,2034.98,642600,0.0409217,1474.94,466596,0.754177,4525.06,733404,200,3468.75,2034.98,642600,1474.94,466596,0.754177,4525.06,733404,0.54757
300,28/10/1990,886.084,836.161,829.698,831.13,838.735,856.031,922.161,2.4311,1.83051,1.7982,1.79047,1.7831,1.79701,2.37138,3474.66,3474.58,3474.26,3473.58,3472.38,3470.51,3467.82,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,58.5358,1.38576,1553.54,797954,0.0507536,1121.08,578704,0.813154,4878.92,1221300,300,3465.94,1553.54,797954,1121.08,578704,0.813154,4878.92,1221300,0.821355
