TIME,WBHP:4B,WGPR:4B,WGPT:4B,WOPR:4B,WOPT:4B,WWCT:4B,WWPR:4B,WWPT:4B,WWOR:4B
0,3610,0,0,0,0,0,0,0,0
1,3501.84,9641.88,9641.88,7016.34,7016.34,0.150687,1244.85,1244.85,0.1774215617
4,3475.02,9212.03,37278,6737.22,27228,0.188351,1563.44,5935.16,0.2320601079
11.24,3442.43,8286.61,97254.2,6092.38,71323,0.27244,2281.33,22446.8,0.374456288
30.11,3388.7,6593.61,221704,4886.14,163546,0.425275,3615.56,90688.2,0.7399624243
60.16,3331.47,5003.1,372047,3707.79,274964,0.569327,4901.5,237977,1.3219464964
100,3277.82,3840.53,525046,2858.62,388846,0.671036,5831.15,470279,2.0398478986
150,3215.68,2998.02,674947,2262.81,501986,0.741452,6489.18,794738,2.8677529267
200,3155.16,2449.31,797413,1831.72,593572,0.791328,6946.26,1142050,3.7922062324
300,3047.16,2295.88,1027000,1334.48,727020,0.842163,7120.32,1854080,5.3356513398
400,2960.24,2760.59,1303060,1025.47,829567,0.86872,6785.84,2532670,6.6172974343
500,2876.78,3027.15,1605770,836.319,913199,0.886858,6555.43,3188210,7.8384324642
600,2796.29,3312.61,1937040,690.578,982257,0.901108,6292.6,3817470,9.1120771296
700,2714.69,3386.83,2275720,588.365,1041090,0.913018,6175.85,4435060,10.496630493
800,2634.66,3381.84,2613900,510.65,1092160,0.922921,6114.38,5046490,11.9737197689
900,2558.29,3339.28,2947830,451.585,1137320,0.930854,6079.32,5654420,13.4621831992
1000,2483.77,3273.75,3275210,405.363,1177850,0.93731,6060.76,6260500,14.9514385871
1100,2411.02,3190.17,3594220,369.731,1214830,0.942476,6057.74,6866280,16.3841820134
1200,2340.86,3135.03,3907730,340.145,1248840,0.946602,6029.8,7469260,17.7271457761
1300,2274.61,3172.42,4224970,311.327,1279970,0.949999,5915.12,8060770,18.9997012787
1400,2212.57,3139.22,4538890,290.054,1308980,0.952865,5863.65,8647130,20.2157184524
1500,2152.41,3084.28,4847320,273.405,1336320,0.955248,5835.88,9230720,21.3451838847
