Days,dd/mm/yyyy,CLFR:PROD:6.5.1,CLFR:PROD:7.5.1,CLFR:PROD:8.5.1,CPI:PROD:6.5.1,CPI:PROD:7.5.1,CPI:PROD:8.5.1,CPR:PROD:6.5.1,CPR:PROD:7.5.1,CPR:PROD:8.5.1,CTFAC:PROD:6.5.1,CTFAC:PROD:7.5.1,CTFAC:PROD:8.5.1,FGOR,FGPR,FGPT,FOE,FOPR,FOPT,FWCT,FWPR,FWPT,TIME,WBHP:PROD,WGPR:PROD,WGPT:PROD,WOPR:PROD,WOPT:PROD,WWCT:PROD,WWPR:PROD,WWPT:PROD,YEARS
0,01/01/1990,0,0,0,0,0,0,3600,3600,3600,585.358,585.358,585.358,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,0,0
1,02/01/1990,2907.81,2775.3,3316.89,222.443,220.391,217.456,3569.48,3568.54,3564.93,585.358,585.358,585.358,1.38372,10466.8,10466.8,0.000663391,7564.29,7564.29,0.159523,1435.71,1435.71,1,3560.42,10466.8,10466.8,7564.29,7564.29,0.159523,1435.71,1435.71,0.00273785
3.57,04/01/1990,2946.68,2772.96,3280.35,181.323,177.032,175.719,3560.86,3559.89,3556.27,585.358,585.358,585.358,1.38159,9589.76,35106.8,0.00222748,6941.11,25398.8,0.228766,2058.89,6725.82,3.5694,3551.79,9589.76,35106.8,6941.11,25398.8,0.228766,2058.89,6725.82,0.00977248
10.5,11/01/1990,2977.47,2776.82,3245.72,124.831,114.914,118.045,3543.96,3542.99,3539.37,585.358,585.358,585.358,1.3774,7838.17,89408,0.00568489,5690.56,64821.9,0.367715,3309.44,29652.9,10.4972,3534.96,7838.17,89408,5690.56,64821.9,0.367715,3309.44,29652.9,0.0287398
23.18,24/01/1990,3002.68,2778.96,3218.37,81.2404,68.0376,74.6932,3518.5,3517.52,3513.93,585.358,585.358,585.358,1.37079,5933.11,164651,0.0104988,4328.25,119712,0.519084,4671.75,88899.2,23.179,3509.59,5933.11,164651,4328.25,119712,0.519084,4671.75,88899.2,0.0634607
42.5,12/02/1990,3012.32,2797.19,3190.48,52.6553,39.8084,46.8836,3483.97,3483,3479.43,585.358,585.358,585.358,1.36145,4307.51,247889,0.0158606,3163.91,180852,0.648455,5836.09,201677,42.5031,3475.15,4307.51,247889,3163.91,180852,0.648455,5836.09,201677,0.116367
71.25,13/03/1990,3003.66,2841.41,3154.94,33.6893,23.0982,28.8101,3436.78,3435.83,3432.25,585.358,585.358,585.358,1.34836,3027,334911,0.0215207,2244.95,245390,0.750561,6755.05,395874,71.2516,3428.02,3027,334911,2244.95,245390,0.750561,6755.05,395874,0.195076
100,11/04/1990,3002.23,2846.79,3150.98,24.71,15.1718,20.2746,3392.83,3391.88,3388.32,585.358,585.358,585.358,1.34071,2278.69,400420,0.0258058,1699.61,294252,0.811154,7300.39,605748,100,3384.12,2278.69,400420,1699.61,294252,0.811154,7300.39,605748,0.273785
150,31/05/1990,3007.61,2849.05,3143.35,17.3987,9.01197,12.9887,3321.96,3321.02,3317.47,585.358,585.358,585.358,1.32776,1539.39,477389,0.0308898,1159.39,352221,0.871179,7840.61,997779,150,3313.28,1539.39,477389,1159.39,352221,0.871179,7840.61,997779,0.410678
200,20/07/1990,2977.08,2886.22,3136.7,12.6845,6.01053,8.49864,3255.26,3254.34,3250.8,585.358,585.358,585.358,1.31328,1067.19,530749,0.0344531,812.612,392852,0.90971,8187.39,1407150,200,3246.63,1067.19,530749,812.612,392852,0.90971,8187.39,1407150,0.54757
300,28/10/1990,2927,2901.98,3171.02,9.47193,4.47022,5.8361,3099.34,3098.26,3094.2,585.358,585.358,585.358,3.60626,2146.75,745423,0.0396737,595.284,452380,0.933857,8404.72,2247620,300,3089.41,2146.75,745423,595.284,452380,0.933857,8404.72,2247620,0.821355
400,05/02/1991,2843.33,2912.69,3243.98,7.89362,3.52267,4.46974,2892.18,2890.61,2885.08,585.358,585.358,585.358,10.827,5235.78,1269000,0.0439148,483.587,500739,0.946268,8516.41,3099260,400,2878.59,5235.78,1269000,483.587,500739,0.946268,8516.41,3099260,1.09514
