Days,dd/mm/yyyy,CLFR:PROD:10.6.2,CLFR:PROD:11.6.2,CLFR:PROD:215,CLFR:PROD:216,CLFR:PROD:217,CLFR:PROD:218,CLFR:PROD:219,CLFR:PROD:7.6.2,CLFR:PROD:8.6.2,CLFR:PROD:9.6.2,CPI:PROD:10.6.2,CPI:PROD:11.6.2,CPI:PROD:215,CPI:PROD:216,CPI:PROD:217,CPI:PROD:218,CPI:PROD:219,CPI:PROD:7.6.2,CPI:PROD:8.6.2,CPI:PROD:9.6.2,CPR:PROD:10.6.2,CPR:PROD:11.6.2,CPR:PROD:215,CPR:PROD:216,CPR:PROD:217,CPR:PROD:218,CPR:PROD:219,CPR:PROD:7.6.2,CPR:PROD:8.6.2,CPR:PROD:9.6.2,CTFAC:PROD:10.6.2,CTFAC:PROD:11.6.2,CTFAC:PROD:215,CTFAC:PROD:216,CTFAC:PROD:217,CTFAC:PROD:218,CTFAC:PROD:219,CTFAC:PROD:7.6.2,CTFAC:PROD:8.6.2,CTFAC:PROD:9.6.2,FGOR,FGPR,FGPT,FOE,FOPR,FOPT,FWCT,FWPR,FWPT,TIME,WBHP:PROD,WGPR:PROD,WGPT:PROD,WOPR:PROD,WOPT:PROD,WWCT:PROD,WWPR:PROD,WWPT:PROD,YEARS,
0.00,01/01/1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,0,0,
1.00,02/01/1990,1474.2,1600.8,1579.49,1463.44,2882.07,1474.2,1600.8,1579.49,1463.44,2882.07,11.7014,11.9483,11.9852,11.7225,23.3656,11.7014,11.9483,11.9852,11.7225,23.3656,3255.34,3252.27,3259.22,3259.07,3258.29,3255.34,3252.27,3259.22,3259.07,3258.29,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.34341,9137.91,9137.91,0.000602311,6802.01,6802.01,0.244222,2197.99,2197.99,1,3250,9137.91,9137.91,6802.01,6802.01,0.244222,2197.99,2197.99,0.00273785,
2.58,03/01/1990,1462.39,1620.95,1615.98,1459.78,2840.91,1462.39,1620.95,1615.98,1459.78,2840.91,10.3878,10.7694,10.8176,10.4142,20.7054,10.3878,10.7694,10.8176,10.4142,20.7054,3196.56,3193.51,3200.45,3200.3,3199.5,3196.56,3193.51,3200.45,3200.3,3199.5,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.33712,8637.67,22760.6,0.00150447,6459.92,16990.1,0.282231,2540.08,6204.01,2.57712,3191.25,8637.67,22760.6,6459.92,16990.1,0.282231,2540.08,6204.01,0.00705578,
4.56,05/01/1990,1454.57,1632.83,1634.84,1455.61,2822.15,1454.57,1632.83,1634.84,1455.61,2822.15,9.17915,9.84915,9.91597,9.21304,18.2313,9.17915,9.84915,9.91597,9.21304,18.2313,3160.65,3157.61,3164.55,3164.4,3163.59,3160.65,3157.61,3164.55,3164.4,3163.59,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.33963,8082.09,38773.7,0.00256295,6033.08,28943.5,0.329658,2966.92,12082.4,4.55843,3155.34,8082.09,38773.7,6033.08,28943.5,0.329658,2966.92,12082.4,0.0124803,
10.19,11/01/1990,1444.64,1646.2,1655.77,1448.38,2805.01,1444.64,1646.2,1655.77,1448.38,2805.01,6.88522,7.98247,8.11796,6.94119,13.5635,6.88522,7.98247,8.11796,6.94119,13.5635,3113.96,3110.93,3117.88,3117.72,3116.9,3113.96,3110.93,3117.88,3117.72,3116.9,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.35933,6919.45,77731.8,0.00510078,5090.34,57603.3,0.434406,3909.66,34094.7,10.1887,3108.65,6919.45,77731.8,5090.34,57603.3,0.434406,3909.66,34094.7,0.027895,
20.74,21/01/1990,1442.24,1645.58,1660.77,1447.2,2804.21,1442.24,1645.58,1660.77,1447.2,2804.21,4.78847,6.07164,6.27648,4.8604,9.32244,4.78847,6.07164,6.27648,4.8604,9.32244,3073.11,3070.12,3076.98,3076.83,3076.01,3073.11,3070.12,3076.98,3076.83,3076.01,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.36196,5473.04,135467,0.00885453,4018.51,99994.4,0.553499,4981.49,86644.2,20.7376,3067.88,5473.04,135467,4018.51,99994.4,0.553499,4981.49,86644.2,0.0567765,
39.85,09/02/1990,1444.36,1636.12,1656.11,1449.52,2813.89,1444.36,1636.12,1656.11,1449.52,2813.89,3.15984,4.38185,4.65764,3.23744,6.07692,3.15984,4.38185,4.65764,3.23744,6.07692,3037.13,3034.18,3040.94,3040.78,3039.99,3037.13,3034.18,3040.94,3040.78,3039.99,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.36119,4071.85,213308,0.0139184,2991.38,157181,0.667625,6008.62,201511,39.8547,3031.98,4071.85,213308,2991.38,157181,0.667625,6008.62,201511,0.109116,
69.93,11/03/1990,1448.92,1624.57,1645.2,1453.38,2827.93,1448.92,1624.57,1645.2,1453.38,2827.93,2.09611,3.1419,3.46041,2.17333,3.98929,2.09611,3.1419,3.46041,2.17333,3.98929,3007.82,3004.91,3011.57,3011.42,3010.64,3007.82,3004.91,3011.57,3011.42,3010.64,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.36105,2982.1,302988,0.019753,2191.02,223071,0.756553,6808.98,406275,69.9273,3002.73,2982.1,302988,2191.02,223071,0.756553,6808.98,406275,0.191451,
100.00,11/04/1990,1452.73,1614.24,1636.51,1456.27,2840.26,1452.73,1614.24,1636.51,1456.27,2840.26,1.57659,2.46443,2.82098,1.65655,2.97876,1.57659,2.46443,2.82098,1.65655,2.97876,2991.67,2988.78,2995.4,2995.25,2994.48,2991.67,2988.78,2995.4,2995.25,2994.48,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.36411,2385.15,374716,0.0244091,1748.51,275653,0.805721,7251.49,624347,100,2986.62,2385.15,374716,1748.51,275653,0.805721,7251.49,624347,0.273785,
150.00,31/05/1990,1458.54,1601.51,1623.96,1461.93,2854.05,1458.54,1601.51,1623.96,1461.93,2854.05,1.17648,1.857,2.24612,1.25621,2.21727,1.17648,1.857,2.24612,1.25621,2.21727,2977.86,2974.97,2981.56,2981.42,2980.65,2977.86,2974.97,2981.56,2981.42,2980.65,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.37167,1873.53,468392,0.0304566,1365.88,343947,0.848236,7634.12,1.00605e+06,150,2972.83,1873.53,468392,1365.88,343947,0.848236,7634.12,1.00605e+06,0.410678,
