Days,dd/mm/yyyy,CLFR:PROD:10.6.2,CLFR:PROD:11.6.2,CLFR:PROD:215,CLFR:PROD:216,CLFR:PROD:217,CLFR:PROD:218,CLFR:PROD:219,CLFR:PROD:7.6.2,CLFR:PROD:8.6.2,CLFR:PROD:9.6.2,CPI:PROD:10.6.2,CPI:PROD:11.6.2,CPI:PROD:215,CPI:PROD:216,CPI:PROD:217,CPI:PROD:218,CPI:PROD:219,CPI:PROD:7.6.2,CPI:PROD:8.6.2,CPI:PROD:9.6.2,CPR:PROD:10.6.2,CPR:PROD:11.6.2,CPR:PROD:215,CPR:PROD:216,CPR:PROD:217,CPR:PROD:218,CPR:PROD:219,CPR:PROD:7.6.2,CPR:PROD:8.6.2,CPR:PROD:9.6.2,CTFAC:PROD:10.6.2,CTFAC:PROD:11.6.2,CTFAC:PROD:215,CTFAC:PROD:216,CTFAC:PROD:217,CTFAC:PROD:218,CTFAC:PROD:219,CTFAC:PROD:7.6.2,CTFAC:PROD:8.6.2,CTFAC:PROD:9.6.2,FGOR,FGPR,FGPT,FOE,FOPR,FOPT,FWCT,FWPR,FWPT,TIME,WBHP:PROD,WGPR:PROD,WGPT:PROD,WOPR:PROD,WOPT:PROD,WWCT:PROD,WWPR:PROD,WWPT:PROD,YEARS,
200.00,20/07/1990,1461.91,1594.95,1614.68,1463.92,2864.55,1461.91,1594.95,1614.68,1463.92,2864.55,0.951934,1.48809,1.88918,1.03189,1.79422,0.951934,1.48809,1.88918,1.03189,1.79422,2970.02,2967.14,2973.7,2973.56,2972.81,2970.02,2967.14,2973.7,2973.56,2972.81,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.3737,1557.33,546259,0.035476,1133.68,400631,0.874036,7866.32,1.39937e+06,200,2965.01,1557.33,546259,1133.68,400631,0.874036,7866.32,1.39937e+06,0.54757,
300.00,28/10/1990,1467.08,1584.21,1603.35,1467.02,2878.34,1467.08,1584.21,1603.35,1467.02,2878.34,0.729634,1.09487,1.50898,0.809743,1.38719,0.729634,1.09487,1.50898,0.809743,1.38719,2962.26,2959.39,2965.92,2965.79,2965.04,2962.26,2959.39,2965.92,2965.79,2965.04,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.37613,1221.88,668447,0.0433385,887.913,489422,0.901343,8112.09,2.21058e+06,300,2957.28,1221.88,668447,887.913,489422,0.901343,8112.09,2.21058e+06,0.821355,
400.00,05/02/1991,1471.18,1580.22,1593.46,1469.55,2885.6,1471.18,1580.22,1593.46,1469.55,2885.6,0.607236,0.872547,1.2697,0.688163,1.16001,0.607236,0.872547,1.2697,0.688163,1.16001,2958.4,2955.54,2962.05,2961.91,2961.17,2958.4,2955.54,2962.05,2961.91,2961.17,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.37768,1020.08,770456,0.0498951,740.439,563466,0.917729,8259.56,3.03653e+06,400,2953.43,1020.08,770456,740.439,563466,0.917729,8259.56,3.03653e+06,1.09514,
500.00,16/05/1991,1474.05,1579.16,1583.93,1472.02,2890.84,1474.05,1579.16,1583.93,1472.02,2890.84,0.532905,0.725665,1.10854,0.611283,1.0225,0.532905,0.725665,1.10854,0.611283,1.0225,2956.65,2953.79,2960.27,2960.14,2959.41,2956.65,2953.79,2960.27,2960.14,2959.41,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.37984,889.486,859404,0.0556033,644.632,627929,0.928374,8355.37,3.87207e+06,500,2951.68,889.486,859404,644.632,627929,0.928374,8355.37,3.87207e+06,1.36893,
600.00,24/08/1991,1475.44,1581.23,1576.82,1473.11,2893.4,1475.44,1581.23,1576.82,1473.11,2893.4,0.475879,0.62731,0.993219,0.554823,0.921663,0.475879,0.62731,0.993219,0.554823,0.921663,2955.61,2952.75,2959.22,2959.09,2958.36,2955.61,2952.75,2959.22,2959.09,2958.36,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.37996,793.502,938754,0.0606951,575.016,685431,0.936109,8424.98,4.71457e+06,600,2950.66,793.502,938754,575.016,685431,0.936109,8424.98,4.71457e+06,1.64271,
700.00,02/12/1991,1476.33,1582.76,1572.11,1473.87,2894.93,1476.33,1582.76,1572.11,1473.87,2894.93,0.432203,0.556275,0.903101,0.512595,0.842824,0.432203,0.556275,0.903101,0.512595,0.842824,2954.79,2951.94,2958.39,2958.26,2957.53,2954.79,2951.94,2958.39,2958.26,2957.53,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.38007,720.649,1.01082e+06,0.065319,522.183,737649,0.94198,8477.82,5.56235e+06,700,2949.84,720.649,1.01082e+06,522.183,737649,0.94198,8477.82,5.56235e+06,1.9165,
800.00,11/03/1992,1477.07,1583.92,1568.39,1474.43,2896.18,1477.07,1583.92,1568.39,1474.43,2896.18,0.397219,0.502529,0.829426,0.478689,0.7785,0.397219,0.502529,0.829426,0.478689,0.7785,2954.04,2951.2,2957.64,2957.51,2956.78,2954.04,2951.2,2957.64,2957.51,2956.78,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.38017,662.5,1.07707e+06,0.0695696,480.012,785650,0.946665,8519.99,6.41435e+06,800,2949.1,662.5,1.07707e+06,480.012,785650,0.946665,8519.99,6.41435e+06,2.19028,
900.00,19/06/1992,1477.72,1584.84,1565.28,1474.88,2897.28,1477.72,1584.84,1565.28,1474.88,2897.28,0.368065,0.459732,0.768692,0.450351,0.724459,0.368065,0.459732,0.768692,0.450351,0.724459,2953.35,2950.5,2956.94,2956.81,2956.08,2953.35,2950.5,2956.94,2956.81,2956.08,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.38027,614.569,1.13853e+06,0.0735123,445.253,830175,0.950527,8554.75,7.26982e+06,900,2948.41,614.569,1.13853e+06,445.253,830175,0.950527,8554.75,7.26982e+06,2.46407,
1000.00,27/09/1992,1478.02,1585.3,1564.13,1474.89,2897.67,1478.02,1585.3,1564.13,1474.89,2897.67,0.343153,0.424415,0.721816,0.426071,0.678321,0.343153,0.424415,0.721816,0.426071,0.678321,2952.83,2949.99,2956.41,2956.28,2955.56,2952.83,2949.99,2956.41,2956.28,2955.56,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.38034,574.468,1.19597e+06,0.0771976,416.178,871793,0.953758,8583.82,8.12821e+06,1000,2947.9,574.468,1.19597e+06,416.178,871793,0.953758,8583.82,8.12821e+06,2.73785,
1100.00,05/01/1993,1478.25,1585.62,1563.37,1474.83,2897.93,1478.25,1585.62,1563.37,1474.83,2897.93,0.321524,0.394802,0.682488,0.404934,0.638475,0.321524,0.394802,0.682488,0.404934,0.638475,2952.36,2949.52,2955.94,2955.81,2955.09,2952.36,2949.52,2955.94,2955.81,2955.09,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.38042,540.223,1.25e+06,0.0806629,391.346,910928,0.956517,8608.65,8.98907e+06,1100,2947.43,540.223,1.25e+06,391.346,910928,0.956517,8608.65,8.98907e+06,3.01164,
1200.00,15/04/1993,1478.48,1585.9,1562.65,1474.76,2898.2,1478.48,1585.9,1562.65,1474.76,2898.2,0.303012,0.369525,0.647965,0.386467,0.605629,0.303012,0.369525,0.647965,0.386467,0.605629,2951.9,2949.07,2955.48,2955.35,2954.63,2951.9,2949.07,2955.48,2955.35,2954.63,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.3805,510.972,1.30109e+06,0.0839405,370.136,947941,0.958874,8629.86,9.85206e+06,1200,2946.98,510.972,1.30109e+06,370.136,947941,0.958874,8629.86,9.85206e+06,3.28542,
1300.00,24/07/1993,1478.71,1586.15,1561.96,1474.69,2898.48,1478.71,1586.15,1561.96,1474.69,2898.48,0.287221,0.347636,0.61747,0.370374,0.577611,0.287221,0.347636,0.61747,0.370374,0.577611,2951.46,2948.63,2955.04,2954.91,2954.19,2951.46,2948.63,2955.04,2954.91,2954.19,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.38057,485.667,1.34966e+06,0.0870556,351.788,983120,0.960912,8648.21,1.07169e+07,1300,2946.54,485.667,1.34966e+06,351.788,983120,0.960912,8648.21,1.07169e+07,3.55921,
1400.00,01/11/1993,1478.89,1586.33,1561.58,1474.57,2898.63,1478.89,1586.33,1561.58,1474.57,2898.63,0.273287,0.328457,0.589737,0.356163,0.553023,0.273287,0.328457,0.589737,0.356163,0.553023,2951.06,2948.23,2954.63,2954.51,2953.79,2951.06,2948.23,2954.63,2954.51,2953.79,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.38068,463.267,1.39599e+06,0.0900268,335.536,1.01667e+06,0.962718,8664.46,1.15833e+07,1400,2946.14,463.267,1.39599e+06,335.536,1.01667e+06,0.962718,8664.46,1.15833e+07,3.83299,
1500.00,09/02/1994,1479.01,1586.44,1561.48,1474.4,2898.66,1479.01,1586.44,1561.48,1474.4,2898.66,0.260826,0.311649,0.564119,0.343435,0.531164,0.260826,0.311649,0.564119,0.343435,0.531164,2950.7,2947.86,2954.27,2954.14,2953.42,2950.7,2947.86,2954.27,2954.14,2953.42,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.38078,443.185,1.4403e+06,0.092869,320.968,1.04877e+06,0.964337,8679.03,1.24512e+07,1500,2945.78,443.185,1.4403e+06,320.968,1.04877e+06,0.964337,8679.03,1.24512e+07,4.10678,
