TIME,WBHP:1B,WGPR:1B,WGPT:1B,WOPR:1B,WOPT:1B,WWCT:1B,WWPR:1B,WWPT:1B,WWOR:1B
0,3610,0,0,0,0,0,0,0,0
1,3582.35,3304.75,3304.75,2379.67,2379.67,0.131651,360.783,360.783,0.1516105174
4,3586.84,3246.97,13045.6,2335.87,9387.28,0.148941,408.794,1587.17,0.1750071708
13,3591.14,3101.58,40959.9,2231.3,29468.9,0.190555,525.278,6314.67,0.2354134361
40,3589.65,2738.53,114900,1970.14,82662.8,0.292549,814.705,28311.7,0.4135264499
100,3584.25,2172.55,245253,1562.98,176442,0.44726,1264.72,104195,0.8091722223
150,3580.56,1812.36,335871,1303.85,241634,0.543267,1550.88,181739,1.189461978
200,3579.45,1567.08,414225,1127.4,298004,0.607603,1745.71,269024,1.5484388859
300,3579.54,1262.4,540466,908.202,388824,0.686385,1987.71,467796,2.1886210336
400,3580.08,1068.24,647290,768.52,465676,0.735945,2141.93,681989,2.7870842659
500,3580.55,920.445,739334,662.191,531895,0.77334,2259.33,907922,3.411900796
600,3580.93,803.13,819647,577.791,589674,0.802822,2352.51,1143170,4.071558747
700,3581.25,709.511,890599,510.44,640718,0.826222,2426.87,1385860,4.7544667346
800,3581.52,634.973,954096,456.815,686400,0.844773,2486.07,1634470,5.4421811893
900,3581.79,580.173,1012110,417.39,728139,0.858367,2529.6,1887430,6.0605189391
1000,3582.01,537.77,1065890,386.885,766827,0.86886,2563.28,2143750,6.6254313297
1100,3582.22,504.059,1116300,362.633,803091,0.877186,2590.06,2402760,7.1423725916
1200,3582.4,476.618,1163960,342.891,837380,0.883952,2611.85,2663950,7.6171436404
1300,3582.57,453.038,1209260,325.927,869972,0.88976,2630.58,2927000,8.0710711294
1400,3582.72,432.065,1252470,310.838,901056,0.894919,2647.24,3191730,8.5164619512
1500,3582.86,413.065,1293770,297.169,930773,0.899588,2662.33,3457960,8.9589762055
