TIME,WBHP:1A,WGPR:1A,WGPT:1A,WOPR:1A,WOPT:1A,WWCT:1A,WWPR:1A,WWPT:1A,WWOR:3A
0,3610,0,0,0,0,0,0,0,0
1,3348.98,9303.21,9303.21,6891.93,6891.93,0.171424,1425.87,1425.87,0.2068897972
2.95,3293.53,8690.3,26284.8,6492.81,19579.4,0.224732,1882.11,5103.68,0.2898760321
6.59,3245.54,7829.41,54773.3,5826.54,40780.2,0.308658,2601.34,14569,0.4464639391
15.34,3198.56,6490.98,111568,4762.3,82449.2,0.439911,3740.45,47297.1,0.7854293094
29.44,3171.84,5083.07,183202,3734.18,135074,0.566054,4870.99,115943,1.3044336374
55.16,3171.42,3809.9,281227,2802.05,207168,0.677829,5895.35,267625,2.1039417569
77.58,3176.16,3155.71,351972,2322.67,259237,0.734392,6422.07,411593,2.7649515428
100,3179.68,2678.96,412028,1972.21,303450,0.775348,6806.76,564186,3.4513363181
150,3184.35,2080.8,516068,1527.65,379833,0.826809,7293,928836,4.7739992799
200,3188.43,1748.88,603512,1273.18,443492,0.856004,7568.58,1307260,5.9446268399
300,3194.15,1404.47,743959,1020.71,545563,0.884882,7845.94,2091860,7.6867474601
400,3198.31,1185.34,862492,861.141,631677,0.903055,8021.64,2894020,9.3151295781
500,3201.67,1030.62,965554,748.546,706531,0.915839,8145.63,3708590,10.8819364475
600,3204.61,914.965,1057050,664.441,772976,0.925367,8238.28,4532410,12.3988134387
700,3207.12,824.899,1139540,598.957,832871,0.932772,8310.42,5363460,13.8748190605
800,3209.61,753.561,1214900,547.126,887584,0.938626,8367.53,6200210,15.2936069571
900,3211.7,697.034,1284600,506.028,938187,0.943263,8412.8,7041490,16.6251669868
1000,3213.58,650.908,1349690,472.509,985438,0.947041,8449.73,7886460,17.8826858324
1100,3215.19,611.849,1410880,444.13,1029850,0.950238,8481,8734560,19.0957602504
1200,3216.61,577.854,1468660,419.418,1071790,0.95302,8508.22,9585380,20.2857769576
1300,3217.9,547.375,1523400,397.277,1111520,0.955512,8532.62,10438600,21.4777598502
1400,3219.14,520.729,1575470,377.92,1149310,0.957689,8553.95,11294000,22.6342876799
1500,3220.3,497.136,1625190,360.785,1185390,0.959615,8572.83,12151300,23.7616031709
